"","X","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Mass","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Age","Sex","Kipp.s.Index","tip.label"
"1729",1766,"Tyrannus_tyrannus","","migratory","taxonomy","238422",NA,"Nacho","American Museum of tural History","1917",3,"24","Peru","Ucayali","","Sarayacun, R. Ucayali","",-9,-73.5,13.9,7.2,6.2,18.1,40.5,124.5,83,"Adult","Male",32.5301204819277,"Tyrannus_tyrannus"
"1735",1772,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","238866",NA,"MM","Smithsonian tiol Museum of tural History","1912",6,"24","Puerto Rico","Lares","","Palmar Llano","",18.22433,-66.2718,19.95,10.14,8.085,24.365,25.21,114.39,90.56,"Adult","Male",22.0386397412361,"Tyrannus_caudifasciatus_taylori"
"1736",1773,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","238867",NA,"MM","Smithsonian tiol Museum of tural History","1912",6,"24","Puerto Rico","Lares","","Palmar Llano","",18.22433,-66.2718,20.11,9.825,7.94,23.94,22.72,110.565,89.59,"Adult","Male",20.5489983267761,"Tyrannus_caudifasciatus_taylori"
"1737",1774,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","238868",NA,"MM","Smithsonian tiol Museum of tural History","1912",6,"22","Puerto Rico","","","Palmar Llano","",18.22433,-66.2718,21.07,10.27,8.075,24.17,23.915,114.37,91.35,"Adult","Male",20.910203724753,"Tyrannus_caudifasciatus_taylori"
"1740",1777,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","239428",NA,"Nacho","American Museum of tural History","1928",2,"13","Peru","","","Lagarto, Alto Ucayali","",-12.6521,-69.8271,16.5,9.2,7.1,17.45,29.05,111.5,91,"Adult","Male",26.0538116591928,"Tyrannus_melancholicus_melancholicus"
"1742",1779,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","240554",NA,"Nacho","American Museum of tural History","1927",1,"2","Peru","","","Santa Rosa, Alto Ucayali","",-14.3172,-76.1621,17.7,9.1,7.4,18.35,30.8,118,92,"Adult","Male",26.1016949152542,"Tyrannus_melancholicus_melancholicus"
"1744",1781,"Tyrannus_caudifasciatus","gabbii","sedentary","taxonomy","249520",NA,"MM","Smithsonian tiol Museum of tural History","1916",9,"28","Dominican Republic","","","Santo Domingo, Constanza","",19.10385,-71.2966,18.155,7.84,6.095,20.835,NA,NA,NA,"Adult","Male",NA,"Tyrannus_caudifasciatus_gabbii"
"1747",1784,"Tyrannus_caudifasciatus","gabbii","sedentary","taxonomy","249523",NA,"MM","Smithsonian tiol Museum of tural History","1916",9,"29","Dominican Republic","La Vega","","Santo Domingo, Constanza","4000 ft",19.10385,-71.2966,18.9,9.05,6.605,21.135,NA,NA,81.54,"Adult","Male",NA,"Tyrannus_caudifasciatus_gabbii"
"1749",1786,"Tyrannus_caudifasciatus","gabbii","sedentary","taxonomy","251550",NA,"MM","Smithsonian tiol Museum of tural History","1918",1,"29","Haiti","","","Moline","2000 ft",19.10385,-71.2966,18.97,8.665,6.755,20.92,24.025,110.265,86.95,"Adult","Male",21.7884188092323,"Tyrannus_caudifasciatus_gabbii"
"1751",1788,"Tyrannus_caudifasciatus","gabbii","sedentary","taxonomy","251553",NA,"MM","Smithsonian tiol Museum of tural History","1919",11,"29","Haiti","Grand'Anse / Ouest","","Jeremie","",19.10385,-71.2966,18.96,8.585,7.19,20.77,23.255,99.88,81.12,"Adult","Male",23.2829395274329,"Tyrannus_caudifasciatus_gabbii"
"1753",1790,"Tyrannus_caudifasciatus","gabbii","sedentary","taxonomy","251555",NA,"MM","Smithsonian tiol Museum of tural History","1917",11,"30","Haiti","Grand'Anse / Ouest","","Jeremie","",19.10385,-71.2966,18.515,8.63,7.225,19.915,21.715,106,85.43,"Adult","Male",20.4858490566038,"Tyrannus_caudifasciatus_gabbii"
"1756",1793,"Tyrannus_caudifasciatus","gabbii","sedentary","taxonomy","251559",NA,"MM","Smithsonian tiol Museum of tural History","1917",12,"20","Haiti","","","Moron","",19.10385,-71.2966,18.385,8.725,6.865,21,24.675,108.78,82.24,"Adult","Male",22.6833976833977,"Tyrannus_caudifasciatus_gabbii"
"1757",1794,"Tyrannus_caudifasciatus","gabbii","sedentary","taxonomy","251560",NA,"MM","Smithsonian tiol Museum of tural History","1917",12,"23","Haiti","","","Moron","",19.10385,-71.2966,17.675,9.11,6.525,20.025,24.235,101.185,80.15,"Adult","Male",23.9511785343677,"Tyrannus_caudifasciatus_gabbii"
"1758",1795,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","252056",NA,"MM","The Field Museum","1958",7,"18","Peru","Cuzco","","Hacienda Villa Carmen","",-12.5952,-72.7707,17.02,9.025,7.055,18.205,33.925,118.33,97.21,"Adult","Male",28.6698216851179,"Tyrannus_melancholicus_melancholicus"
"1759",1796,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","252057",NA,"MM","The Field Museum","1958",7,"13","Peru","Cuzco","","Hacienda Villa Carmen","",-12.5952,-72.7707,17.42,9.795,8.59,19.03,30.51,114.81,97.9,"Adult","Male",26.574340214267,"Tyrannus_melancholicus_melancholicus"
"1760",1797,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","252058",NA,"MM","The Field Museum","1958",9,"2","Peru","Madre de Dios","","Collpa, Rio Tambopata","",-12.6523,-69.177,16.015,9.87,7.48,19.055,31.23,113.025,NA,"Adult","Male",27.6310550763106,"Tyrannus_melancholicus_melancholicus"
"1761",1798,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","252059",NA,"MM","The Field Museum","1958",9,"18","Peru","Madre de Dios","","Rio de las Piedras, Boca","",-12.5051,-69.2197,16.37,9.58,7.635,17.75,37.9,116.055,90.31,"Adult","Male",32.6569299039249,"Tyrannus_melancholicus_melancholicus"
"1762",1799,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","252060",NA,"MM","The Field Museum","1958",7,"4","Peru","Cuzco","","Hacienda Villa Carmen","",-12.5952,-72.7707,17.43,10.075,NA,19.025,28.37,112.15,NA,"Adult","Male",25.296477931342,"Tyrannus_melancholicus_melancholicus"
"1763",1800,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","252063",NA,"MM","The Field Museum","1958",10,"8","Peru","Madre de Dios","","Rio Colorado, boca","",-12.7926,-70.7274,16.58,9.22,7.925,18.505,33.2,117.5,NA,"Adult","Male",28.2553191489362,"Tyrannus_melancholicus_melancholicus"
"1774",1811,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","256327",NA,"Nacho","American Museum of tural History","1925",11,"10","Ecuador","","","Boca, Rio Curaray","",-1.38417,-76.9383,16.7,9,7,18.4,26.45,107.5,86,"Adult","Male",24.6046511627907,"Tyrannus_melancholicus_melancholicus"
"1778",1815,"Tyrannus_savana","circumdatus","sedentary","taxonomy","258153",NA,"MM","The Field Museum","1959",8,"9","Brazil","Para","","Jacuara, Rio Amazonas","",-3.27072,-58.9346,11.6,6.545,5.48,17.9,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_circumdatus"
"1780",1817,"Tyrannus_savana","monachus SA","sedentary","taxonomy","261540",NA,"MM","The Field Museum","1959",3,"21","Colombia","Boyaca","","Bojaba","244m",6.972915,-71.9507,12.17,6.905,5.615,18.32,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"1781",1818,"Tyrannus_savana","monachus SA","sedentary","taxonomy","261541",NA,"MM","The Field Museum","1959",4,"27","Colombia","Boyaca","","La Ceiba, Rio Cobaria","335m",6.962866,-71.2667,12.24,6.585,5.985,18.46,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"1786",1823,"Tyrannus_melancholicus","satrapa","partial","taxonomy","262354",NA,"MM","The Field Museum","1951",4,"24","El Salvador","","","Los Blancos","",13.33333,-88.9833,16.74,9.305,7.005,19.34,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1787",1824,"Tyrannus_caudifasciatus","gabbii","sedentary","taxonomy","264778",NA,"MM","Smithsonian tiol Museum of tural History","1927",3,"31","Haiti","","","Fond Des Negres","",19.10385,-71.2966,19.465,9.71,NA,21.225,22.425,100.76,82.8,"Adult","Male",22.2558554982136,"Tyrannus_caudifasciatus_gabbii"
"1788",1825,"Tyrannus_savana","savana","migratory","taxonomy","267214",NA,"MM","The Field Museum","1960",11,"22","Brazil","Sao Paulo","","Barra do Rio Juquia","",-3.43417,-42.7086,11.535,6.315,5.41,16.86,42.12,114.14,236.456,"Adult","Male",36.9020501138952,"Tyrannus_savana_savana"
"1789",1826,"Tyrannus_savana","savana","migratory","taxonomy","267215",NA,"MM","The Field Museum","1960",11,"30","Brazil","Sao Paulo","","Barra do Rio Juquia","",-3.43417,-42.7086,NA,6.51,4.94,17.86,NA,NA,180.832,"Adult","Male",NA,"Tyrannus_savana_savana"
"1790",1827,"Tyrannus_savana","savana","migratory","taxonomy","267216",NA,"MM","The Field Museum","1960",11,"25","Brazil","Sao Paulo","","Barra do Rio Juquia","",-3.43417,-42.7086,11.265,6.765,4.96,18.24,38.915,111.8,265.682,"Adult","Male",34.8076923076923,"Tyrannus_savana_savana"
"1793",1830,"Tyrannus_savana","savana","migratory","taxonomy","276170",NA,"MM","The Field Museum","",NA,"","United States of America","","","","",27.208534,-81.360283,12.16,7.44,5.42,17.285,37.21,107.525,240.156,"Adult","Male",34.6059056033481,"Tyrannus_savana_savana"
"1794",1831,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277190",NA,"Nacho","American Museum of tural History","1898",8,"10","Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,12.5,6.1,4.8,17.5,32.55,103.5,221,"Adult","Male",31.4492753623188,"Tyrannus_savana_circumdatus"
"1795",1832,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277191",NA,"Nacho","American Museum of tural History","1930",8,"14","Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,13.5,6.5,5.2,17.75,33.7,104.5,243,"Adult","Male",32.2488038277512,"Tyrannus_savana_circumdatus"
"1796",1833,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277193",NA,"Nacho","American Museum of tural History","1930",8,"22","Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,12.8,6.3,5.3,17.45,30.55,101,201,"Adult","Male",30.2475247524752,"Tyrannus_savana_circumdatus"
"1797",1834,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277194",NA,"Nacho","American Museum of tural History","1930",8,"28","Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,12.7,6.5,5.5,17.95,35.15,105.5,264,"Adult","Male",33.3175355450237,"Tyrannus_savana_circumdatus"
"1798",1835,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277195",NA,"Nacho","American Museum of tural History","1930",8,"28","Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,12.1,6.4,5.1,17.6,29.8,100,204,"Adult","Male",29.8,"Tyrannus_savana_circumdatus"
"1799",1836,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277196",NA,"Nacho","American Museum of tural History","1930",8,"10","Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,11.8,6.3,5,17.35,29,100,231,"Adult","Male",29,"Tyrannus_savana_circumdatus"
"1800",1837,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277197",NA,"Nacho","American Museum of tural History","1930",8,"10","Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,12.2,6.6,5.5,17.4,32,102,NA,"Adult","Male",31.3725490196078,"Tyrannus_savana_circumdatus"
"1802",1839,"Tyrannus_savana","circumdatus","sedentary","taxonomy","277200",NA,"Nacho","American Museum of tural History","1930",8,"23","Brazil","","","Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank","",-12.1167,-39.4,11.8,5.8,5.2,17.6,32.65,100.5,198,"Adult","Male",32.4875621890547,"Tyrannus_savana_circumdatus"
"1803",1840,"Tyrannus_caudifasciatus","gabbii","sedentary","taxonomy","280231",NA,"MM","Smithsonian tiol Museum of tural History","1929",1,"19","Haiti","","","Donclon","",19.10385,-71.2966,18.22,9.32,6.67,21.76,24.025,106.585,83.75,"Adult","Male",22.5406952197776,"Tyrannus_caudifasciatus_gabbii"
"1807",1844,"Tyrannus_savana","monachus SA","sedentary","taxonomy","282146",NA,"MM","The Field Museum","1967",8,"30","Colombia","Cauca","","Popayan","1750m",2.444862,-76.615,13.16,6.825,5.9,17.95,36.465,108.345,NA,"Adult","Male",33.6563754672574,"Tyrannus_savana_monachus_SA"
"1808",1845,"Tyrannus_savana","monachus SA","sedentary","taxonomy","282147",NA,"MM","The Field Museum","1967",8,"22","Colombia","Cauca","","Popayan","1750m",2.444862,-76.615,12.805,6.38,5.55,18.015,34.79,108.615,290.628,"Adult","Male",32.0305666804769,"Tyrannus_savana_monachus_SA"
"1811",1848,"Tyrannus_savana","circumdatus","sedentary","taxonomy","286358",NA,"Nacho","American Museum of tural History","1931",4,"19","Brazil","","","Tauary, Râ€™o Tapajoz","",-1.11667,-47.0667,12.5,5.9,5.4,17.8,37.8,110.5,236,"Adult","Male",34.2081447963801,"Tyrannus_savana_circumdatus"
"1812",1849,"Tyrannus_savana","circumdatus","sedentary","taxonomy","287347",NA,"Nacho","American Museum of tural History","1931",6,"8","Brazil","","","Igarape Brabo, Râ€™o Tapajoz","",-20.0525,-44.3243,12,6.7,5,17.45,37.4,109.5,248,"Adult","Male",34.1552511415525,"Tyrannus_savana_circumdatus"
"1813",1850,"Tyrannus_savana","circumdatus","sedentary","taxonomy","287351",NA,"Nacho","American Museum of tural History","1931",6,"8","Brazil","","","Igarape Brabo, Râ€™o Tapajoz","",-20.0525,-44.3243,12.4,6.4,5.2,17.45,36.25,110,242,"Adult","Male",32.9545454545455,"Tyrannus_savana_circumdatus"
"1814",1851,"Tyrannus_savana","circumdatus","sedentary","taxonomy","287352",NA,"Nacho","American Museum of tural History","1931",6,"19","Brazil","","","Igarape Brabo, Râ€™o Tapajoz","",-20.0525,-44.3243,12.8,6.1,5.5,17.25,34.65,103,211,"Adult","Male",33.6407766990291,"Tyrannus_savana_circumdatus"
"1815",1852,"Tyrannus_savana","circumdatus","sedentary","taxonomy","287353",NA,"Nacho","American Museum of tural History","1931",5,"29","Brazil","","","Igarape Brabo, Râ€™o Tapajoz","",-20.0525,-44.3243,12.1,6.4,5,17.35,39.9,111.5,254,"Adult","Male",35.7847533632287,"Tyrannus_savana_circumdatus"
"1816",1853,"Tyrannus_savana","circumdatus","sedentary","taxonomy","287359",NA,"Nacho","American Museum of tural History","1931",4,"20","Brazil","","","Tauary, Râ€™o Tapajoz","",-1.11667,-47.0667,11.8,6.4,5.1,17.3,38.5,107.5,222,"Adult","Male",35.8139534883721,"Tyrannus_savana_circumdatus"
"1817",1854,"Tyrannus_savana","circumdatus","sedentary","taxonomy","287360",NA,"Nacho","American Museum of tural History","1931",4,"29","Brazil","","","Tauary, Râ€™o Tapajoz","",-1.11667,-47.0667,12.3,6.6,4.9,17.6,33.9,104,201,"Adult","Male",32.5961538461538,"Tyrannus_savana_circumdatus"
"1819",1856,"Tyrannus_savana","circumdatus","sedentary","taxonomy","287366",NA,"Nacho","American Museum of tural History","1931",4,"13","Brazil","","","Tauary, Râ€™o Tapajoz","",-1.11667,-47.0667,12.6,6.5,5.8,17.45,39,110,243,"Adult","Male",35.4545454545455,"Tyrannus_savana_circumdatus"
"1821",1858,"Tyrannus_savana","savana","migratory","taxonomy","295371",27,"MM","The Field Museum","1973",3,"2","Bolivia","Santa Cruz","Chiquitos","Santiago","700m",-18.3344,-59.59,12.545,7.62,6.365,17.54,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"1824",1861,"Tyrannus_savana","savana","migratory","taxonomy","295374",30,"MM","The Field Museum","1973",3,"8","Bolivia","Santa Cruz","Chiquitos","Santiago","700m",-18.3344,-59.59,11.55,6.99,NA,18.28,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"1828",1865,"Tyrannus_savana","savana","migratory","taxonomy","295378",25,"MM","The Field Museum","1973",3,"7","Bolivia","Santa Cruz","Chiquitos","Santiago","700m",-18.3344,-59.59,10.645,6.505,5.49,16.9,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"1835",1872,"Tyrannus_melancholicus","despotes","sedentary","taxonomy","295795",NA,"MM","The Field Museum","1958",10,"23","Brazil","Goias","","Aragarcas, Rio Araguaia","",-5.35,-48.6833,17.985,9.92,7.375,18.15,34.18,114.915,95.47,"Adult","Male",29.7437236218074,"Tyrannus_melancholicus_despotes"
"1838",1875,"Tyrannus_melancholicus","despotes","sedentary","taxonomy","295798",NA,"MM","The Field Museum","1961",10,"","Brazil","Para","","Ananindeua","",-1.36574,-48.3422,17.89,10.14,7.895,16.53,28.87,109.43,NA,"Adult","Male",26.3821621127661,"Tyrannus_melancholicus_despotes"
"1839",1876,"Tyrannus_melancholicus","despotes","sedentary","taxonomy","295799",NA,"MM","The Field Museum","1960",11,"","Brazil","Para","","Ananindeua","",-1.36574,-48.3422,17.96,9.875,6.775,17.255,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_despotes"
"1840",1877,"Tyrannus_albogularis","","migratory","taxonomy","295800",NA,"MM","The Field Museum","1958",10,"20","Brazil","Goias","","Aragarcas, Rio Araguaia","",-15.8995,-52.2413,16.295,8.66,6.19,17.67,31.015,109.955,99.31,"Adult","Male",28.2069937701787,"Tyrannus_albogularis"
"1841",1878,"Tyrannus_albogularis","","migratory","taxonomy","295801",NA,"MM","The Field Museum","1962",1,"17","Brazil","Goias","","Neropolis, 20 km W Goiania","",-3.82802,-55.4887,15.015,8.29,6.375,17.225,NA,NA,NA,"Adult","Male",NA,"Tyrannus_albogularis"
"1844",1881,"Tyrannus_savana","monachus SA","sedentary","taxonomy","297581",29,"MM","The Field Museum","1976",1,"20","Colombia","Meta","","Carimagua","150m",4.566491,-71.3376,11.17,6.64,5.595,17.185,37.43,105.15,267.346,"Adult","Male",35.5967665240133,"Tyrannus_savana_monachus_SA"
"1846",1883,"Tyrannus_savana","savana","migratory","taxonomy","298063",33.6,"MM","The Field Museum","",NA,"","Colombia","Meta","","Carimagua","150m",4.566491,-71.3376,11.215,6.74,5.525,18.875,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"1847",1884,"Tyrannus_savana","savana","migratory","taxonomy","298064",33.5,"MM","The Field Museum","",NA,"","Colombia","Meta","","Carimagua","150m",4.566491,-71.3376,10.96,6.75,4.83,16.72,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"1849",1886,"Tyrannus_melancholicus","melancholicus","partial","location","304020",NA,"MM","The Field Museum","1898",10,"","Argentina","Buenos Aires","","La Plata","",-34.92,-57.954,17.265,9.955,7.16,18.245,33.04,112.94,NA,"Adult","Male",29.2544714007438,"Tyrannus_melancholicus_melancholicus"
"1852",1889,"Tyrannus_melancholicus","melancholicus","partial","location","304023",NA,"MM","The Field Museum","1897",2,"","Argentina","Buenos Aires","","La Plata","",-34.92,-57.954,17.07,9.835,7.435,19.365,27.375,110.76,NA,"Adult","Male",24.7156013001083,"Tyrannus_melancholicus_melancholicus"
"1853",1890,"Tyrannus_melancholicus","melancholicus","partial","location","304024",NA,"MM","The Field Museum","1897",1,"","Argentina","Buenos Aires","","La Plata","",-34.92,-57.954,17.305,10.545,8.115,17.77,27.51,108.575,NA,"Adult","Male",25.3373244301174,"Tyrannus_melancholicus_melancholicus"
"1856",1893,"Tyrannus_couchii","","partial","taxonomy","304027",NA,"MM","The Field Museum","",NA,"","Mexico","Tamaulipas","","Tampico","",22.23114,-97.8564,17.355,10.51,7.43,20.54,NA,NA,NA,"Adult","Male",NA,"Tyrannus_couchii"
"1857",1894,"Tyrannus_vociferans","vociferans","partial","taxonomy","304028",NA,"MM","The Field Museum","1882",5,"7","United States of America","Arizona","Pinal","Riverside","",33.10534,-110.95789,16.2,8.675,7.185,20.04,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"1858",1895,"Tyrannus_vociferans","vociferans","partial","taxonomy","304029",NA,"MM","The Field Museum","1882",4,"30","United States of America","Arizona","Pinal","Riverside","",33.10534,-110.95789,15.185,8.455,6.96,19.325,36.24,28.39,NA,"Adult","Male",127.65058119056,"Tyrannus_vociferans_vociferans"
"1860",1897,"Tyrannus_vociferans","vociferans","partial","taxonomy","304031",NA,"MM","The Field Museum","1882",5,"5","United States of America","Arizona","Pinal","Riverside","",33.10534,-110.95789,15.435,8.425,7.34,19.02,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
